{'项目': '蜜糖/蝶恋花收CPA', 'QQ': '643795'}
{'项目': '官方影视产品寻CPA/CPS', 'QQ': '4707644'}
{'项目': '棋牌大平台，实力长期收量', 'QQ': '1277711121'}
{'项目': '棋牌大平台，长期高价收各类流量', 'QQ': '1011220320'}
{'项目': '直播平台直招/CPA量', 'QQ': '22590238'}
{'项目': '直播平台直招/CPA量', 'QQ': '22590238'}
{'项目': '大棋牌公司收量', 'QQ': '770781016'}
{'项目': '蝴蝶花秀-收CPA量', 'QQ': '960143'}
{'项目': 'BoBo花秀直播-CPA收量', 'QQ': '6136680'}
{'项目': '夜色直播-CPA收量', 'QQ': '5295211'}
{'项目': '官方播放器，寻渠道商', 'QQ': '1160799996'}
{'项目': '暴利cps-交友一对一寻渠道', 'QQ': '317349106'}
{'项目': '小甜甜直播-收量', 'QQ': '23307329'}
{'项目': '牡蛎免费领取-收量', 'QQ': '871881526'}
{'项目': '★惊★高暴力直播交友产品收量★', 'QQ': '2877294622'}
{'项目': '爱彩/爱爱你，官方收量', 'QQ': '332504523'}
{'项目': '头条免费开户，政策优惠', 'QQ': '9116583'}
{'项目': '高价收各种量（招大代理）', 'QQ': '1126809'}
{'项目': '招财猫交友官方寻量', 'QQ': '68112782'}
{'项目': '每月3W起的抖音周边项目', 'QQ': '252178892'}
{'项目': '承接app推广注册实名量', 'QQ': '4251010'}
{'项目': '融360', 'QQ': '2462735533'}
{'项目': '信而富理财项目', 'QQ': '137260208'}
{'项目': '信而富', 'QQ': '137260208'}
{'项目': '金融管家100', 'QQ': '583990775'}
{'项目': '金融助手100', 'QQ': '583990775'}
{'项目': '来问公众号', 'QQ': '549127649'}
{'项目': '信而富', 'QQ': '320206121'}
{'项目': '还呗app', 'QQ': '320206121'}
{'项目': '51信用卡管家', 'QQ': '320206121'}
{'项目': '小花钱包', 'QQ': '320206121'}
{'项目': '平安陆金所', 'QQ': '320206121'}
{'项目': '华泰证券', 'QQ': '320206121'}
{'项目': '百度好看', 'QQ': '1119288506'}
{'项目': '腾讯动漫', 'QQ': '1119288506'}
{'项目': '360手机卫士', 'QQ': '1119288506'}
{'项目': '陌陌', 'QQ': '1119288506'}
{'项目': '360影视', 'QQ': '1119288506'}
{'项目': '腾讯理财通', 'QQ': '320206121'}
{'项目': '360清理大师', 'QQ': '1119288506'}
{'项目': '东方头条', 'QQ': '1119288506'}
{'项目': '高德地图', 'QQ': '1119288506'}
{'项目': '信而富扫码注册', 'QQ': '14499092380'}
{'项目': '亿企赚', 'QQ': '1339533255'}
{'项目': '益民宝找地推网推', 'QQ': '282897397'}
{'项目': '承接应用市场下载量评论等', 'QQ': '4251010'}
{'项目': '网申联通卡，充值分成+长期分润', 'QQ': '1450905903'}
{'项目': '爱上街', 'QQ': '898788433'}
{'项目': '淘集集拉新', 'QQ': '898788433'}
{'项目': '直播推广', 'QQ': '1339533255'}
{'项目': '京东支付0.02', 'QQ': '898788433'}
{'项目': 'GEC实名', 'QQ': '898788433'}
{'项目': '中邮消金', 'QQ': '834703631'}
{'项目': '360借条', 'QQ': '834703631'}
{'项目': '全免勉注册东海证券开户打包任务', 'QQ': '1455186'}
{'项目': '招代理', 'QQ': '1305311368'}
{'项目': '电话效果注册回访补量', 'QQ': '1339533255'}
{'项目': '移动新闻头条巴士', 'QQ': '3004633806'}
{'项目': '头条bus', 'QQ': '3004633806'}
{'项目': '头条巴士H5新闻', 'QQ': '3004633806'}
{'项目': 'PC新闻', 'QQ': '3004633806'}
{'项目': '红人直播', 'QQ': '2462735533'}
{'项目': '云闪付接码', 'QQ': '1228269056'}
{'项目': '掌上接码', 'QQ': '1228269056'}
{'项目': '可乐直播', 'QQ': '447288688'}
{'项目': '爱阅读', 'QQ': '447288688'}
{'项目': 'UC浏览器', 'QQ': '447288688'}
{'项目': 'YY语音', 'QQ': '447288688'}
{'项目': '抖音', 'QQ': '2462735533'}
{'项目': '印象直播', 'QQ': '343810563'}
{'项目': '钱包管家APP', 'QQ': '1031442291'}
{'项目': '黄金先生', 'QQ': '1625974385'}
{'项目': '贷款产品，寻效果渠道', 'QQ': '812953103'}
{'项目': '网信理财', 'QQ': '1031442291'}
{'项目': '百度桌面', 'QQ': '170557854'}
{'项目': '秀色直播间', 'QQ': '945924945'}
{'项目': '秀色直播', 'QQ': '945924945'}
{'项目': '嗨秀直播', 'QQ': '945924945'}
{'项目': '乐嗨直播', 'QQ': '945924945'}
{'项目': '蓝月传奇', 'QQ': '170557854'}
{'项目': 'hahe', 'QQ': '1410427492'}
{'项目': 'E闲公众号纯关注', 'QQ': '1410427492'}
{'项目': '闪播视频聊天交友', 'QQ': '3043819663'}
{'项目': '一对一视频交友APP', 'QQ': '3043819663'}
{'项目': '闪播视频聊天', 'QQ': '3043819663'}
{'项目': '一对一视频聊天', 'QQ': '3043819663'}
{'项目': '爱碰app一对一交友cps', 'QQ': '605288200'}
{'项目': '微信辅助（半程操作）', 'QQ': '735725998'}
{'项目': '东方头条下载注册', 'QQ': '4051530'}
{'项目': 'DD拉新淘宝 36元一单', 'QQ': '5729945'}
{'项目': '微信辅助注册', 'QQ': '1145002'}
{'项目': '还呗额度', 'QQ': '6468110'}
{'项目': '惠头条 下载注册', 'QQ': '6468110'}
{'项目': '自营QP,寻推广渠道', 'QQ': '70031480'}
{'项目': 'Ipsos益普索会员招募', 'QQ': '279647258'}
{'项目': '钱贷网2期', 'QQ': '279647258'}
{'项目': '国美', 'QQ': '1164778417'}
{'项目': '淘集集', 'QQ': '898788433'}
{'项目': '【官方】CPS淘宝查小号工具', 'QQ': '1303432679'}
{'项目': '【官方】CPS黑号捕手', 'QQ': '1303432679'}
{'项目': '传奇类手游', 'QQ': '562679406'}
{'项目': '玩转手游盒子CPS合作', 'QQ': '603999680'}
{'项目': '斗米兼职', 'QQ': '855424'}
{'项目': '斗米兼职', 'QQ': '855424'}
{'项目': '9秀直播', 'QQ': '562679406'}
{'项目': '秀色秀场', 'QQ': '2462735533'}
{'项目': '乐嗨', 'QQ': '2462735533'}
{'项目': '秀色秀场', 'QQ': '1748525098'}
{'项目': '挣钱吧', 'QQ': '273814331'}
{'项目': '彩票APP', 'QQ': '2730748934'}
{'项目': '么么直播', 'QQ': '1748525098'}
{'项目': '95秀', 'QQ': '2462735533'}
{'项目': '国泰证券不限三户', 'QQ': '648102171'}
{'项目': '秀色秀场', 'QQ': '1748525098'}
{'项目': '微信加好友', 'QQ': '648102171'}
{'项目': '国泰有效户', 'QQ': '648102171'}
{'项目': '星秀直播', 'QQ': '1748525098'}
{'项目': '国泰证券有效户', 'QQ': '648102171'}
{'项目': '秀吧', 'QQ': '2462735533'}
{'项目': '密疯直播', 'QQ': '2462735533'}
{'项目': '道无边', 'QQ': '27847884'}
{'项目': '95秀', 'QQ': '2462735533'}
{'项目': '95秀', 'QQ': '2462735533'}
{'项目': '乐嗨', 'QQ': '2462735533'}
{'项目': '中信行动时贷', 'QQ': '648102171'}
{'项目': '国泰有效户', 'QQ': '648102171'}
{'项目': '兴业银行信用卡', 'QQ': '648102171'}
{'项目': '秘咪直播', 'QQ': '2462735533'}
{'项目': '乐嗨', 'QQ': '2462735533'}
{'项目': '乐嗨', 'QQ': '2462735533'}
{'项目': '热血江湖', 'QQ': '27847884'}
{'项目': '京东金融', 'QQ': '27847884'}
{'项目': '调研邦任务墙', 'QQ': '3451251517'}
{'项目': '调研邦', 'QQ': '3451251517'}
{'项目': '平安WIFI', 'QQ': '273814331'}
{'项目': '浦发信用卡核卡', 'QQ': '812953103'}
{'项目': '江苏银行直销银行', 'QQ': '1031442291'}
{'项目': '360浏览器', 'QQ': '27847884'}
{'项目': '捕鱼英雄', 'QQ': '631736755'}
{'项目': '微众有折', 'QQ': '2214931112'}
{'项目': '饿了么网上门店截图', 'QQ': '1470280838'}
{'项目': '现金贷贷款成功', 'QQ': '2388287699'}
{'项目': '点点', 'QQ': '1179947431'}
{'项目': '百度桌面', 'QQ': '2327855519'}
{'项目': '车翼达手台', 'QQ': '769408457'}
{'项目': '360卫士', 'QQ': '170557854'}
{'项目': '分期乐', 'QQ': '1470280838'}
{'项目': '贷款王', 'QQ': '1410427492'}
{'项目': '僵尸大战', 'QQ': '631736755'}
{'项目': '信而富', 'QQ': '316980785'}
{'项目': '红人直播', 'QQ': '945924945'}
{'项目': '红人直播', 'QQ': '945924945'}
{'项目': '信而富', 'QQ': '772940319'}
{'项目': '钱宝', 'QQ': '2214931112'}
{'项目': '众麦商圈公众号', 'QQ': '1410427492'}
{'项目': '理财通关', 'QQ': '1410427492'}
{'项目': 'wish', 'QQ': '1410427492'}
{'项目': '华瑞银行', 'QQ': '2388287699'}
{'项目': '360浏览器', 'QQ': '1119288506'}
{'项目': '360手机助手', 'QQ': '1119288506'}
{'项目': '百度浏览器', 'QQ': '1119288506'}
{'项目': '应用宝（一次激活）', 'QQ': '1119288506'}
{'项目': '手机百度', 'QQ': '1119288506'}
{'项目': '商通贷', 'QQ': '2388287699'}
{'项目': '大华基金', 'QQ': '2388287699'}
{'项目': '平安橙E财富', 'QQ': '27847884'}
{'项目': '咪咕动漫', 'QQ': '1119288506'}
{'项目': 'QQ管家', 'QQ': '170557854'}
{'项目': '咪咕阅读', 'QQ': '1119288506'}
{'项目': '杭州银行', 'QQ': '1410427492'}
{'项目': '花无缺', 'QQ': '191455759'}
{'项目': '安卓收藏量', 'QQ': '853094587'}
{'项目': '国泰君安证券开户', 'QQ': '27847884'}
{'项目': '借贷宝', 'QQ': '1017891658'}
{'项目': '易享公众号', 'QQ': '1410427492'}
{'项目': '金蚂蚁', 'QQ': '1410427492'}
{'项目': 'QQ浏览器二次', 'QQ': '2355784715'}
{'项目': 'NOW直播', 'QQ': '2427404968'}
{'项目': 'UC浏览器', 'QQ': '2355784715'}
{'项目': '硅谷堂', 'QQ': '2355784715'}
{'项目': '芈月传', 'QQ': '3078906656'}
{'项目': '[招募]K任务', 'QQ': '279647258'}
{'项目': 'PP助手', 'QQ': '2355784715'}
{'项目': 'QQ阅读一次', 'QQ': '2355784715'}
{'项目': '京东阅读', 'QQ': '2355784715'}
{'项目': '多米音乐', 'QQ': '2355784716'}
{'项目': '网易bobo', 'QQ': '27847884'}
{'项目': '多块游戏', 'QQ': '27847884'}
{'项目': '新大主宰', 'QQ': '27847884'}
{'项目': '龙星域帝尊', 'QQ': '27847884'}
{'项目': '僵尸侠', 'QQ': '27847884'}
{'项目': '百度浏览器', 'QQ': '2355784715'}
{'项目': '百度手机助', 'QQ': '2355784715'}
{'项目': '折800', 'QQ': '2355784716'}
{'项目': '酷锁屏', 'QQ': '529358585'}
{'项目': '百度手机助手', 'QQ': '27847884'}
{'项目': '搜狗浏览器', 'QQ': '27847884'}
{'项目': '92助手', 'QQ': '27847884'}
{'项目': '聚客', 'QQ': '7590677'}
{'项目': '迅游加速器', 'QQ': '275155913'}
{'项目': '赏金猎人', 'QQ': '3291719897'}
{'项目': '无线长春', 'QQ': '275155913'}
{'项目': '2345手机助手', 'QQ': '403848612'}
{'项目': '2345手机浏览器', 'QQ': '403848612'}
{'项目': '2345天气王', 'QQ': '403848612'}
{'项目': '搜狗输入法', 'QQ': '273814331'}
{'项目': '易打工', 'QQ': '273814331'}
{'项目': '360游戏大厅', 'QQ': '273814331'}
{'项目': '融360', 'QQ': '273814331'}
{'项目': '卓易市场', 'QQ': '273814331'}
{'项目': '平安中国', 'QQ': '273814331'}
{'项目': '人人投', 'QQ': '1348138767'}
{'项目': '借贷宝', 'QQ': '840765058'}
{'项目': '聚光灯', 'QQ': '2712483250'}
{'项目': '360手机助手', 'QQ': '970815943'}
{'项目': '360手机助手', 'QQ': '970815493'}
{'项目': '金山毒霸', 'QQ': '2608126287'}
{'项目': '百度杀毒', 'QQ': '2608126287'}
{'项目': '飞云日历', 'QQ': '208865817'}
{'项目': '欢乐吧', 'QQ': '2851631736'}
{'项目': '音乐汇', 'QQ': '2851631736'}
{'项目': '多彩便签', 'QQ': '2851631736'}
{'项目': '百度杀毒', 'QQ': '2851631736'}
{'项目': '滴滴打车', 'QQ': '2851726973'}
{'项目': '360助手', 'QQ': '2851726973'}
{'项目': '大众点评', 'QQ': '2851726973'}
{'项目': '炼爱', 'QQ': '2092789381'}
{'项目': '沃商店', 'QQ': '2092789381'}
{'项目': '繁星直播', 'QQ': '10021857'}
{'项目': '口袋银行', 'QQ': '1410427492'}
{'项目': '高德地图', 'QQ': '578915444'}
{'项目': '收安卓量-富媒体横幅', 'QQ': '2850712743'}
{'项目': '95秀', 'QQ': '312604694'}
{'项目': '乐嗨秀场', 'QQ': '137787001'}
{'项目': '优艺直播', 'QQ': '137787001'}
{'项目': '秘乐自做全网可对比价格22', 'QQ': '735725998'}
{'项目': '秘乐自做截图版20', 'QQ': '735725998'}
{'项目': '天龙八部荣耀版', 'QQ': '1007194689'}
{'项目': '天龙八部荣耀版', 'QQ': '1007194'}
{'项目': '花开直播视频交友', 'QQ': '3043819663'}
{'项目': '微信公众号聊4.5三句话', 'QQ': '735725998'}
{'项目': '本色自做20不是客服版', 'QQ': '735725998'}
{'项目': '蚂蚁短视频8', 'QQ': '735725998'}
{'项目': '滴滴认证', 'QQ': '735725998'}
{'项目': '本色实名自做', 'QQ': '735725998'}
{'项目': '欢乐红包', 'QQ': '735725998'}
{'项目': '民生初审', 'QQ': '735725998'}
{'项目': '移动领积分(十秒任务）可机刷', 'QQ': '735725998'}
{'项目': '秘乐自做', 'QQ': '735725998'}
{'项目': '秘乐自做', 'QQ': '735725998'}
{'项目': '独立码本色实名自做带量的来', 'QQ': '735725998'}
{'项目': '掌上绑卡', 'QQ': '735725998'}
{'项目': '今日头条', 'QQ': '735725998'}
{'项目': 'v聊最佳视频聊天平台', 'QQ': '3087940029'}
{'项目': '秘乐短视频APP推广', 'QQ': '957086476'}
{'项目': '秘乐短视频APP推广', 'QQ': '957086476'}
{'项目': '好运算命网免费招代理和流量主', 'QQ': '930823988'}
{'项目': '电商平台【爱上街】拉新', 'QQ': '898788433'}
{'项目': 'qq辅助注册', 'QQ': '1667386588'}
{'项目': '微信辅助注册', 'QQ': '1667386588'}
{'项目': '收18年以前企业支付宝号', 'QQ': '1558480270'}
{'项目': '享道出行', 'QQ': '1916473523'}
{'项目': '来者不拒', 'QQ': '3027177084'}
{'项目': '贷款超市', 'QQ': '3027177084'}
{'项目': '立刷商户版APP', 'QQ': '1185632094'}
{'项目': '软银支付', 'QQ': '1185632094'}
{'项目': '人人车', 'QQ': '562679406'}
{'项目': '棋牌电玩城寻实力代理', 'QQ': '303681745'}
{'项目': '飞帆联盟流量变现', 'QQ': '2465067766'}
{'项目': '嗨秀直播安卓', 'QQ': '2462735533'}
{'项目': '95约爱', 'QQ': '312604694'}
{'项目': '诚寻精准小说粉', 'QQ': '52933'}
{'项目': '平安信用卡推广', 'QQ': '944702224'}
{'项目': '大量各类CPA项目', 'QQ': '944702224'}
{'项目': '早起打卡推广（需有流量人士）', 'QQ': '944702224'}
{'项目': '投吧问卷调查', 'QQ': '80659053'}
{'项目': '今日头条', 'QQ': '1748525098'}
{'项目': '星秀直播', 'QQ': '1748525098'}
{'项目': '闪电周转', 'QQ': '965230716'}
{'项目': '广发信用卡', 'QQ': '2698544376'}
{'项目': '95秀', 'QQ': '2465067766'}
{'项目': '乐嗨', 'QQ': '2462735533'}
{'项目': '密疯直播', 'QQ': '2462735533'}
{'项目': '平安普惠', 'QQ': '965230716'}
{'项目': '秀吧', 'QQ': '2465067766'}
{'项目': '秀色秀场', 'QQ': '2850352024'}
{'项目': '简单注册实名，不下载', 'QQ': '3066649843'}
{'项目': '平安信用卡大批量推广（全国单）', 'QQ': '1070951577'}
{'项目': '球球大作战CPS', 'QQ': '454818156'}
{'项目': '最萌消消乐', 'QQ': '631736755'}
{'项目': '超级坦克世界2015', 'QQ': '631736755'}
{'项目': '车翼达手台', 'QQ': '2481655699'}
{'项目': '快看小说大全', 'QQ': '2481655699'}
{'项目': '家装淘宝店铺推广', 'QQ': '99532407'}
{'项目': '挚盟广告sdk', 'QQ': '88490161'}
{'项目': '民生银行信用卡', 'QQ': '2214931112'}
{'项目': '租租车', 'QQ': '2388287699'}
{'项目': '闲玩捕鱼', 'QQ': '2851039677'}
{'项目': '孤胆枪手', 'QQ': '631736755'}
{'项目': 'LBE平行空间', 'QQ': '1986516977'}
{'项目': '叮叮惠来', 'QQ': '1410427492'}
{'项目': '360安全卫士', 'QQ': '576649537'}
{'项目': '快压', 'QQ': '576649537'}
{'项目': 'XY助手', 'QQ': '2880589021'}
{'项目': '禾商所邮币卡开户', 'QQ': '1847020625'}
{'项目': '锁财宝', 'QQ': '2885660151'}
{'项目': '多看阅读', 'QQ': '2355784715'}
{'项目': '百度浏览器', 'QQ': '3276036143'}
{'项目': 'IQ Option二元期权', 'QQ': '284123055'}
{'项目': 'IQ Option二元期权', 'QQ': '284123055'}
{'项目': '乐嗨秀场', 'QQ': '2851772188'}
{'项目': '秀色秀场', 'QQ': '2851772188'}
{'项目': '斗牛大亨', 'QQ': '258941825'}
{'项目': '易乐园', 'QQ': '275155913'}
{'项目': '海马助手', 'QQ': '2880589021'}
{'项目': '平安证券开户', 'QQ': '552597005'}
{'项目': '网址导航', 'QQ': '403848612'}
{'项目': '2345阅读王', 'QQ': '403848612'}
{'项目': '网信理财CPA绑卡单', 'QQ': '1847020625'}
{'项目': '百度浏览器', 'QQ': '1444988181'}
{'项目': '百度手机助手', 'QQ': '1444988181'}
{'项目': '银客网', 'QQ': '501374536'}
{'项目': '九游中心', 'QQ': '825688106'}
{'项目': '百度助手', 'QQ': '825688106'}
{'项目': '三维度', 'QQ': '2428571542'}
{'项目': '血战到底', 'QQ': '360835742'}
{'项目': '快乐捕鱼', 'QQ': '360835742'}
{'项目': '玩赚盟', 'QQ': '649753372'}
{'项目': '爱活动', 'QQ': '2115027046'}
{'项目': 'UC浏览器换量包', 'QQ': '2880263957'}
{'项目': 'app下载器', 'QQ': '2880263957'}
{'项目': '聚光灯', 'QQ': '2712483250'}
{'项目': '小财神手游平台', 'QQ': '626013908'}
{'项目': '360手机浏览器', 'QQ': '2880589021'}
{'项目': '92助手', 'QQ': '2880589021'}
{'项目': '微看点', 'QQ': '2880589021'}
{'项目': '嘎嘎-社交产品', 'QQ': '3097936892'}
{'项目': '卓易市场', 'QQ': '2880589021'}
{'项目': '缘分吧', 'QQ': '2562617278'}
{'项目': '红人直播', 'QQ': '137787001'}
{'项目': '车秘', 'QQ': '65168600'}
{'项目': 'uc浏览器拉新', 'QQ': '65168600'}
{'项目': '轻松保', 'QQ': '65168600'}
{'项目': '爱健康', 'QQ': '65168600'}
{'项目': '京喜拉新', 'QQ': '65168600'}
{'项目': '京喜', 'QQ': '65168600'}
{'项目': '好省', 'QQ': '65168600'}
{'项目': '本色', 'QQ': '65168600'}
{'项目': '秘乐', 'QQ': '65168600'}
{'项目': '淘宝拉新', 'QQ': '65168600'}
{'项目': '滴滴校园认证', 'QQ': '919787406'}
{'项目': '金博注册', 'QQ': '4051530'}
{'项目': '本色', 'QQ': '65168600'}
{'项目': '慈音实名', 'QQ': '65168600'}
{'项目': '比财', 'QQ': '317733109'}
{'项目': '搜狗输入法', 'QQ': '317733109'}
{'项目': '斗鱼直播', 'QQ': '317733109'}
{'项目': '支付宝拉新', 'QQ': '65168600'}
{'项目': '今日头条', 'QQ': '317733109'}
{'项目': '信用卡纯申请进件', 'QQ': '1667386588'}
{'项目': '世纪佳缘', 'QQ': '317733109'}
{'项目': 'POS机', 'QQ': '3120000001'}
{'项目': '百金贷借款', 'QQ': '3120000001'}
{'项目': '淘新闻', 'QQ': '4051530'}
{'项目': '纯扫码关注', 'QQ': '86752678'}
{'项目': '周结量大推广扫码', 'QQ': '0'}
{'项目': '京东快递全国通票', 'QQ': '578569463'}
{'项目': '收微信量，寻公众号中介！', 'QQ': '41308890'}
{'项目': 'qq辅助注册', 'QQ': '1667386588'}
{'项目': 'qq辅助注册', 'QQ': '1667386588'}
{'项目': '招商绑卡', 'QQ': '1'}
{'项目': '猫付', 'QQ': '1185632094'}
{'项目': '大量接单价格便宜', 'QQ': '1916473523'}
{'项目': '钱宝POS机注册激活反80元', 'QQ': '2855238858'}
{'项目': '推广直播软件单', 'QQ': '860755573'}
{'项目': '蚂蚁返现', 'QQ': '11855816'}
{'项目': '钱宝POS机激活反80元', 'QQ': '2855238858'}
{'项目': '乐嗨秀场', 'QQ': '2465067766'}
{'项目': '开心淘 App', 'QQ': '635235410'}
{'项目': '蜜疯直播', 'QQ': '2465067766'}
{'项目': '直播APP', 'QQ': '2465067766'}
{'项目': 'QAQGame游戏加速器', 'QQ': '1581623456'}
{'项目': '红人直播', 'QQ': '2462735533'}
{'项目': '苏宁 任性付出额度到账验证版', 'QQ': '331441902'}
{'项目': '秀色秀场', 'QQ': '3288768391'}
{'项目': '浙商信用卡', 'QQ': '2698544376'}
{'项目': '米多金融', 'QQ': '965230716'}
{'项目': '东方虹整形SDK', 'QQ': '2055232037'}
{'项目': '百度优化大师', 'QQ': '540567034'}
{'项目': '手机百度', 'QQ': '540567034'}
{'项目': '高德地图', 'QQ': '540567034'}
{'项目': '51好工作', 'QQ': '540567034'}
{'项目': '搜狗输入法', 'QQ': '540567034'}
{'项目': '腾讯WIFI管家', 'QQ': '540567034'}
{'项目': '搜狗浏览器', 'QQ': '540567034'}
{'项目': '蓝牙POS机免费领', 'QQ': '772006555'}
{'项目': '流金宝', 'QQ': '2038226020'}
{'项目': '360清理大师', 'QQ': '540567034'}
{'项目': '2345浏览器', 'QQ': '540567034'}
{'项目': '蓝牙POS机免费送 刷信用卡', 'QQ': '2855238858'}
{'项目': '美团', 'QQ': '540567034'}
