age,birth,hometown,names,primaryScore,jobs,picUrl
（51岁）,1969/3/4,台湾,"伊能静
",74,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/c2fdfc039245d688d43fe3b8f58b6a1ed21b0ef48edc?x-bce-process=image
（35岁）,1984/10/15,河南,"海陆
",68,"演员,",https://bkimg.cdn.bcebos.com/pic/9345d688d43f8794a4c2f901e15219f41bd5ad6e8cc1?x-bce-process=image
（34岁）,1985/10/21,吉林,"许飞
",75,"歌手,",https://bkimg.cdn.bcebos.com/pic/f703738da9773912b31b1f61b8509118367adab444d3?x-bce-process=image
（33岁）,1986/8/8,山东,"张雨绮
",72,"演员,",https://bkimg.cdn.bcebos.com/pic/b21c8701a18b87d6277f220447413f381f30e92457dc?x-bce-process=image
（31岁）,1989/4/9,四川,"张含韵
",79,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/0823dd54564e9258d109f8f5dccbc658ccbf6c81e0dd?x-bce-process=image
（37岁）,1983/1/29,辽宁,"吴昕
",74,"演员,主持人,",https://bkimg.cdn.bcebos.com/pic/8644ebf81a4c510fd9f92c465910322dd42a28340f1f?x-bce-process=image
（35岁）,1985/3/22,内蒙古,"王丽坤
",72,"演员,",https://bkimg.cdn.bcebos.com/pic/37d3d539b6003af33a87f9710663d15c1038534318c3?x-bce-process=image
（37岁）,1983/3/14,上海,"金莎
",68,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/5366d0160924ab18972b596c0cb3f1cd7b899e519d1d?x-bce-process=image
（30岁）,1990/4/16,上海,"蓝盈莹
",91,"演员,",https://bkimg.cdn.bcebos.com/pic/10dfa9ec8a13632762d02821a2c6b7ec08fa513d69c5?x-bce-process=image
（37岁）,1983/2/11,上海,"黄圣依
",80,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/64380cd7912397dda144bf1919cba5b7d0a20cf429df?x-bce-process=image
（39岁）,1981/3/6,天津,"张萌
",77,"演员,",https://bkimg.cdn.bcebos.com/pic/6d81800a19d8bc3eb1356cf8b7c2b11ea8d3fd1fefe2?x-bce-process=image
（29岁）,1990/9/5,山东,"金晨
",80,"模特,演员,",https://bkimg.cdn.bcebos.com/pic/5bafa40f4bfbfbedab64a46b4bb9e036afc37931b1c4?x-bce-process=image
（32岁）,1988/4/18,云南,"朱婧汐
",76,"歌手,音乐人,",https://bkimg.cdn.bcebos.com/pic/728da9773912b31bb0514f6abf51217adab44aed4b14?x-bce-process=image
（48岁）,1972/4/27,贵州,"宁静
",84,"演员,",https://bkimg.cdn.bcebos.com/pic/574e9258d109b3de9c82ed749df67b81800a19d8e6dc?x-bce-process=image
（30岁）,1990/2/3,湖南,"孟佳
",87,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/2934349b033b5bb5c9eae8e3769ac239b6003af316de?x-bce-process=image
（36岁）,1983/10/23,四川,"郁可唯
",85,"歌手,",https://bkimg.cdn.bcebos.com/pic/42166d224f4a20a44623e199a91b8f22720e0cf37a11?x-bce-process=image
（33岁）,1987/4/27,海南,"王霏霏
",84,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/267f9e2f070828381f30290af8d0be014c086e065bd1?x-bce-process=image
（42岁）,1978/4/17,湖南,"阿朵
",79,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/f7246b600c338744ebf8fa670046cef9d72a60590adc?x-bce-process=image
（49岁）,1970/9/19,加拿大,"钟丽缇
",78,"演员,",https://bkimg.cdn.bcebos.com/pic/ac4bd11373f082025aaf21231ab2ecedab64034faddc?x-bce-process=image
（38岁）,1981/9/6,上海,"郑希怡
",84,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/a8014c086e061d950a7bb4242abd1dd162d9f2d35cdf?x-bce-process=image
（30岁）,1990/4/26,四川,"李斯丹妮
",87,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/4e4a20a4462309f790527b0832471bf3d7ca7bcb78dd?x-bce-process=image
（37岁）,1982/12/26,湖南,"刘芸
",74,"演员,",https://bkimg.cdn.bcebos.com/pic/d8f9d72a6059252dd42ad75f0dd2143b5bb5c9ea131c?x-bce-process=image
（34岁）,1986/5/2,陕西,"白冰
",79,"演员,",https://bkimg.cdn.bcebos.com/pic/c8ea15ce36d3d539b6003bdf7acefe50352ac65c1adc?x-bce-process=image
（37岁）,1982/7/29,辽宁,"王智
",68,"演员,",https://bkimg.cdn.bcebos.com/pic/d1160924ab18972bd407b2d6a6846c899e510fb39cdc?x-bce-process=image
（33岁）,1987/2/13,上海,"黄龄
",89,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/4610b912c8fcc3cec3fd8d2cd20cc188d43f87948ad1?x-bce-process=image
（33岁）,1986/11/14,美国,"袁咏琳
",83,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/060828381f30e924b8996b310c4179061d950a7b59d3?x-bce-process=image
（38岁）,1982/4/17,浙江,"丁当
",75,"歌手,",https://bkimg.cdn.bcebos.com/pic/d01373f082025aafa40fdccbbba4bc64034f78f0acd0?x-bce-process=image
（38岁）,1982/5/14,湖南,"万茜
",77,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/5bafa40f4bfbfbedab64a4514bb9e036afc37931b1ce?x-bce-process=image
（31岁）,1989/6/13,湖南,"沈梦辰
",86,"演员,主持人,",https://bkimg.cdn.bcebos.com/pic/3801213fb80e7bec54e71ba51667ae389b504fc23d14?x-bce-process=image
（49岁）,1971/1/21,香港,"陈松伶
",73,"歌手,演员,",https://bkimg.cdn.bcebos.com/pic/b90e7bec54e736d12f2eae14ca1958c2d5628535c3dc?x-bce-process=image
